model,Recall@1,Precision@1,nDCG@1,MRR@1,HR@1,EFD@1,EPC@1,ARP@1,PopREO@1,PopRSP@1,ItemCoverage@1,UserCoverage@1,Recall@10,Precision@10,nDCG@10,MRR@10,HR@10,EFD@10,EPC@10,ARP@10,PopREO@10,PopRSP@10,ItemCoverage@10,UserCoverage@10
Random,0.0047890183615819,0.0095338983050847,0.0095338983050847,0.0095338983050847,0.0095338983050847,0.0578568633523802,0.0085787971757397,84.6988877118644,0.1141996306735348,0.0190896015092745,186.0,3776.0,0.0490885416666666,0.009030720338983,0.0266354337294746,0.0268201842884046,0.0873940677966101,0.0562884187926202,0.0082459455104336,83.49856991525425,0.0441880193152651,0.0153043543802636,186.0,3776.0
NeuMF,0.0765227754237288,0.1432733050847457,0.1432733050847457,0.1432733050847457,0.1432733050847457,0.6123123360342154,0.1082951283530235,817.5121822033898,1.0,1.0,5.0,3776.0,0.247934952582728,0.0461334745762711,0.1846909923129737,0.2220113036386871,0.4022775423728814,0.2920100188184521,0.0492976174675981,319.9003707627118,0.7204720569589389,0.775830352447005,24.0,3776.0
MultiVAE,0.0784935557909604,0.1501588983050847,0.1501588983050847,0.1501588983050847,0.1501588983050847,0.6719400462515692,0.1159177022362467,686.5429025423729,0.9693104214462972,0.990653073474952,83.0,3776.0,0.4035695369249394,0.0760328389830508,0.2593501454136346,0.2672402559187516,0.5794491525423728,0.4364198147241176,0.0736556974060487,450.0442531779661,0.9637138828266074,0.982542852334253,179.0,3776.0
GRCN,0.0906120737489911,0.1639300847457627,0.1639300847457627,0.1639300847457627,0.1639300847457627,0.7783455466896859,0.1293787508304007,540.4462394067797,0.6655732603819576,0.87111434479765,157.0,3776.0,0.4089326699959644,0.0768273305084745,0.2713261054647138,0.2822927175813828,0.5810381355932204,0.4829593184045478,0.0776685694714223,343.5398569915254,0.4615833952206367,0.829551633088711,185.0,3776.0
GRCN,0.0927855755649717,0.1726694915254237,0.1726694915254237,0.1726694915254237,0.1726694915254237,0.8065925490598158,0.1349844468184429,618.3681144067797,0.7013506951463757,0.9135817088177284,143.0,3776.0,0.4444376134987893,0.0830243644067796,0.291832497047454,0.2996230368913102,0.619968220338983,0.5108450439549798,0.0829987158002538,385.46994173728814,0.5949116607773851,0.8898163650721089,184.0,3776.0
GRCN,0.0935624117231638,0.1758474576271186,0.1758474576271186,0.1758474576271186,0.1758474576271186,0.8181697327945012,0.1366763182050775,638.1464512711865,0.7594446915839216,0.9273090687700776,149.0,3776.0,0.4425267352703793,0.0823887711864406,0.2914260078724471,0.3027774625033629,0.6244703389830508,0.5067576332045418,0.0826298712757972,400.4273569915255,0.6228312709501979,0.9079880384239404,185.0,3776.0
MMGCN,0.1260791843220338,0.2298728813559322,0.2298728813559322,0.2298728813559322,0.2298728813559322,0.9061545157881824,0.1602054147739514,1138.1737288135594,0.9898956957990986,0.997721625403768,11.0,3776.0,0.4291367155972558,0.0794491525423728,0.3014104721606199,0.3307155047753565,0.6080508474576272,0.4638895939607334,0.0801374465478267,544.2483580508475,0.9825091924385518,0.9984521142568844,33.0,3776.0
BiVAECF,0.1234882591807909,0.2243114406779661,0.2243114406779661,0.2243114406779661,0.2243114406779661,0.8840093401604493,0.1563326192635018,1111.448622881356,1.0,0.9923546734526004,17.0,3776.0,0.4324953339386602,0.0796610169491525,0.3024880456353879,0.3292978208232446,0.6136122881355932,0.4670066333907973,0.0805044751196561,529.3226430084746,0.9970761412205428,0.9877906953717612,64.0,3776.0
MMGCN,0.1241812323446327,0.2261652542372881,0.2261652542372881,0.2261652542372881,0.2261652542372881,0.8878008584852449,0.1572076259964809,1142.7420550847455,1.0,1.0,7.0,3776.0,0.436313307102502,0.0805084745762711,0.3042568243317458,0.3316616432943234,0.6159957627118644,0.4667976025974676,0.0808352041132806,553.1205508474577,1.0,1.0,24.0,3776.0
GRCN,0.1038731461864406,0.1864406779661017,0.1864406779661017,0.1864406779661017,0.1864406779661017,0.8626517440479065,0.1450653996696351,660.1898834745763,0.7823533291099524,0.9423621569491124,116.0,3776.0,0.4601862010694107,0.0862023305084745,0.3074154726395289,0.3158792162698412,0.636917372881356,0.5302626220908513,0.0869560939102895,418.5198093220339,0.6904138216127845,0.9279033243942132,172.0,3776.0
MostPop,0.1252846927966101,0.2282838983050847,0.2282838983050847,0.2282838983050847,0.2282838983050847,0.8961254312980961,0.1587166549213588,1145.4695444915253,1.0,1.0,7.0,3776.0,0.4439492534301856,0.081832627118644,0.3074622508195761,0.3328981495493678,0.6220868644067796,0.4712035145808944,0.0816613002000098,561.3097722457628,1.0,1.0,22.0,3776.0
MMGCN,0.1249315854519774,0.2269597457627118,0.2269597457627118,0.2269597457627118,0.2269597457627118,0.8908795358129196,0.1577732663701163,1143.3874470338983,1.0,1.0,7.0,3776.0,0.4437771135996771,0.0818591101694915,0.3072371350294689,0.3326936415456012,0.6226165254237288,0.4713900901445719,0.0816588590998899,559.223622881356,1.0,1.0,22.0,3776.0
VBPR,0.1044778425141242,0.1906779661016949,0.1906779661016949,0.1906779661016949,0.1906779661016949,0.8748846357792255,0.1475112244371229,684.2452330508474,0.7971332507520792,0.9508064275114916,127.0,3776.0,0.4645010467110573,0.0863082627118644,0.3100972758248961,0.3214579970406241,0.6477754237288136,0.5343068766418037,0.0874467489593502,412.9241525423729,0.6617969006407932,0.921924139790346,185.0,3776.0
MMGCN,0.1251964159604519,0.2290783898305084,0.2290783898305084,0.2290783898305084,0.2290783898305084,0.9173487281094704,0.1611403871014076,1070.5074152542372,0.940333619590392,0.9889442967845592,11.0,3776.0,0.4474232622074253,0.0824417372881356,0.3107190266675727,0.3371134735673931,0.6260593220338984,0.4848476018137366,0.0830375602038142,539.0885858050848,0.8890080089620275,0.9857718306497651,40.0,3776.0
VBPR,0.1143118820621468,0.2065677966101695,0.2065677966101695,0.2065677966101695,0.2065677966101695,0.9656389389519462,0.16126866437895,667.8646716101695,0.6830193896243044,0.944791874454084,123.0,3776.0,0.4627727123688459,0.0858845338983051,0.3154352719755857,0.3317554899784772,0.6435381355932204,0.550254349318336,0.089206249076418,396.704872881356,0.5419347997947973,0.903351756627218,186.0,3776.0
LATTICE,0.1129038665254237,0.2018008474576271,0.2018008474576271,0.2018008474576271,0.2018008474576271,0.9189059570685276,0.1554267530433065,699.0376059322034,0.7495220511924139,0.958416365893266,97.0,3776.0,0.4731584821428571,0.0885063559322033,0.3208806790554527,0.3336950581786387,0.6567796610169492,0.5541316557171597,0.0905874426541325,413.9537605932203,0.6239535156883765,0.9285686503831014,178.0,3776.0
VBPR,0.1148591984463276,0.204978813559322,0.204978813559322,0.204978813559322,0.204978813559322,0.949888915558734,0.1585547127486713,718.1353283898305,0.6808652049398525,0.954374767434533,116.0,3776.0,0.4859431749394673,0.0897775423728813,0.3261246212064603,0.3370305563962873,0.6705508474576272,0.5623182958320938,0.0916246360178764,421.11602224576274,0.6114990776861668,0.930254386217686,186.0,3776.0
VBPR,0.1158523128531073,0.2065677966101695,0.2065677966101695,0.2065677966101695,0.2065677966101695,0.9444894023374972,0.1590474125161591,714.8058792372881,0.7547545191999144,0.9570734609506812,117.0,3776.0,0.4851950287530266,0.089353813559322,0.3260080658365214,0.336672930118375,0.6676377118644068,0.5590267058867815,0.0913090706735655,419.94311440677967,0.6174891967034135,0.9317196103303794,185.0,3776.0
LATTICE,0.1192333156779661,0.2145127118644068,0.2145127118644068,0.2145127118644068,0.2145127118644068,0.9425365243037974,0.1608213420847098,794.4171080508474,0.7994436766326691,0.954374767434533,102.0,3776.0,0.486150625504439,0.090625,0.3296231268747125,0.3421266520379338,0.6652542372881356,0.559492055053372,0.0922990520109088,441.3515625,0.6937485232989294,0.9419268269030288,177.0,3776.0
LightGCNM,0.1204647775423728,0.2184851694915254,0.2184851694915254,0.2184851694915254,0.2184851694915254,0.9208230303154992,0.1592292029499425,937.0625,0.849237243556023,0.9836167596311302,36.0,3776.0,0.4830937247780468,0.0890624999999999,0.3283420466453178,0.34204320940947,0.6586334745762712,0.543137646228426,0.090478709519912,459.8613347457627,0.7995262009524862,0.9801480258862022,107.0,3776.0
BM3,0.1282861052259886,0.2306673728813559,0.2306673728813559,0.2306673728813559,0.2306673728813559,0.9214969406368564,0.1626257103292875,1082.9962923728813,1.0,0.9987864777916308,12.0,3776.0,0.4710994249394673,0.0865995762711864,0.3272928665226533,0.3487798880145278,0.6483050847457628,0.5135288363075942,0.0878930686038507,525.5507415254237,0.9369512312493986,0.9959201745125252,51.0,3776.0
LightGCNM,0.1192289018361582,0.2174258474576271,0.2174258474576271,0.2174258474576271,0.2174258474576271,0.9451253415500748,0.1620341199323111,863.8490466101695,0.8485457005157689,0.983932078565812,52.0,3776.0,0.4933388821630347,0.0919756355932203,0.334357935069176,0.3462539094027441,0.6697563559322034,0.5665060870332976,0.093632664282026,437.59552436440686,0.7586282403274437,0.9720846791859008,131.0,3776.0
BM3,0.1271914724576271,0.2314618644067796,0.2314618644067796,0.2314618644067796,0.2314618644067796,0.9351867064285118,0.163817728158216,1092.0169491525423,0.9218400051815766,0.9928175065697116,19.0,3776.0,0.5031703995157385,0.0923993644067796,0.340269290089372,0.3557531275221953,0.6816737288135594,0.548738401482639,0.0924354923991079,504.0519862288136,0.8148945111113656,0.9810695489397588,87.0,3776.0
BPRMF,0.1279992055084745,0.2325211864406779,0.2325211864406779,0.2325211864406779,0.2325211864406779,0.969384621088496,0.1680515796690965,987.4409427966102,0.903457475476986,0.9818781457121264,61.0,3776.0,0.4821166893664245,0.0892478813559322,0.3337781987720352,0.354971141881894,0.6644597457627118,0.5401113573840538,0.0911124872444197,513.7377118644068,0.829181070449398,0.9809901888057208,141.0,3776.0
LATTICE,0.1184520656779661,0.2150423728813559,0.2150423728813559,0.2150423728813559,0.2150423728813559,0.9808611407466056,0.1655935513771186,718.7039194915254,0.7725228062123312,0.9612558955702633,95.0,3776.0,0.4950621721146085,0.0922669491525424,0.3364313673607687,0.3498937525221953,0.6782309322033898,0.5847756765382592,0.0952804250522691,419.5208951271186,0.6094569734959461,0.933908223432894,177.0,3776.0
BM3,0.1253200035310734,0.2282838983050847,0.2282838983050847,0.2282838983050847,0.2282838983050847,0.9225817107051614,0.1619860071863329,1080.432468220339,0.9401307681059516,0.994202832331708,22.0,3776.0,0.4847826498184019,0.0901218220338983,0.3338687994456896,0.3528477686978746,0.6697563559322034,0.5410233290598312,0.0911572022836273,493.61753177966096,0.8512415399826758,0.9888664538601366,83.0,3776.0
LATTICE,0.1257260769774011,0.2240466101694915,0.2240466101694915,0.2240466101694915,0.2240466101694915,1.0196803809997308,0.1721966400190319,734.5887182203389,0.8162916581622757,0.966549297984258,91.0,3776.0,0.4852082702784504,0.0903336864406779,0.3347308879764881,0.3512671929647565,0.6679025423728814,0.5770882304989134,0.094351609907837,420.3127913135593,0.6266871581751253,0.9386565042418584,176.0,3776.0
LightGCNM,0.1225260416666666,0.21875,0.21875,0.21875,0.21875,0.9767067330613998,0.165673786043881,801.3270656779661,0.8306443904126135,0.9814026938211364,66.0,3776.0,0.5024402239709443,0.0935381355932203,0.3419565704661251,0.3533132188256658,0.6819385593220338,0.5881636814563754,0.0961492341111273,423.846186440678,0.6525337290239602,0.956720238755505,127.0,3776.0
LightGCNM,0.1274455836359967,0.2285487288135593,0.2285487288135593,0.2285487288135593,0.2285487288135593,1.059233064439128,0.1775654894426888,714.7478813559322,0.8374492049617327,0.9823530462697694,75.0,3776.0,0.509888266747377,0.0946239406779661,0.346857630280825,0.3580408637678235,0.6853813559322034,0.6060136165296279,0.0983288272492747,407.0019332627119,0.5877314219129047,0.9433877885809546,140.0,3776.0
BM3,0.1276107874293785,0.2327860169491525,0.2327860169491525,0.2327860169491525,0.2327860169491525,0.9396247173613406,0.1649300724019678,1093.7574152542372,0.9412623672331724,0.9937415851020424,24.0,3776.0,0.5037066812953995,0.0929555084745762,0.3446677338352588,0.3611406418146354,0.6869703389830508,0.5582947612251087,0.0939865805254716,503.5058262711864,0.820259695833749,0.9850023455030044,90.0,3776.0
FREEDOM,0.1330309851694915,0.2394067796610169,0.2394067796610169,0.2394067796610169,0.2394067796610169,0.9830510007834746,0.171211801565642,1051.363877118644,0.89711993917134,0.9889442967845592,59.0,3776.0,0.5137418659200969,0.0953654661016949,0.3522229207734948,0.3676678731167608,0.6933262711864406,0.5763613429483516,0.0965912726562194,498.680905720339,0.8160247829942631,0.9839951131599534,146.0,3776.0
LightGCN,0.1308770303672316,0.2356991525423729,0.2356991525423729,0.2356991525423729,0.2356991525423729,1.0350742368457049,0.1765709723319448,870.0855402542373,0.868532110091743,0.983774449515846,72.0,3776.0,0.510963037227603,0.0953654661016949,0.3515400141860574,0.3655564803605058,0.6885593220338984,0.6005890110914824,0.0985823502173387,438.7660222457627,0.6638523714275852,0.9591698733623863,144.0,3776.0
FREEDOM,0.1339667196327683,0.2417902542372881,0.2417902542372881,0.2417902542372881,0.2417902542372881,1.00061758174827,0.1741969660074332,1033.9674258474577,0.907025480403495,0.9917367373322707,62.0,3776.0,0.5152025322841001,0.0954978813559322,0.3541487387847751,0.3700538698883507,0.694385593220339,0.5808317140585177,0.0972929779409153,497.09126059322034,0.793302671672247,0.9824954090704036,146.0,3776.0
