model,Recall@5,Precision@5,nDCG@5,MRR@5,HR@5,EFD@5,EPC@5,ARP@5,PopREO@5,PopRSP@5,ItemCoverage@5,UserCoverage@5
Random,0.0253685557909604,0.009322033898305,0.0177472492164443,0.0213674081920903,0.0450211864406779,0.0577759593714654,0.0084950098104734,83.43993644067797,0.0334280744920035,0.0109088643560232,186.0,3776.0
NeuMF,0.1773153753026634,0.0655190677966101,0.1584421903966416,0.2093441031073446,0.3003177966101695,0.3672594745484445,0.0630813768964568,443.96212923728814,0.9173137051956622,0.9251775204107408,14.0,3776.0
MultiVAE,0.270344027441485,0.1013241525423728,0.2081824790510907,0.2471927966101695,0.4282309322033898,0.5250207122742648,0.0894301302301618,532.1431144067797,0.972675550767368,0.987603315938334,162.0,3776.0
GRCN,0.2819546383171912,0.1045550847457627,0.2224490525787632,0.2631488347457627,0.4380296610169492,0.5881602477144096,0.095832369607082,411.1126588983051,0.5473339330049907,0.849517350733754,184.0,3776.0
GRCN,0.3048252749192897,0.1119703389830508,0.2379708329953767,0.2789901129943503,0.4653072033898305,0.6191754724938049,0.1017562393252614,465.829502118644,0.6350740008388759,0.904529563838488,179.0,3776.0
GRCN,0.3058735623486682,0.1128177966101695,0.2392819471164015,0.2828698799435028,0.4740466101694915,0.6211967142702081,0.1022772625578235,480.5002118644067,0.6466388320676997,0.916139834863827,178.0,3776.0
MMGCN,0.2991708282889426,0.1100635593220338,0.2522298777977181,0.3118555790960451,0.4637182203389831,0.5700409254924313,0.0998007742904743,703.7347987288134,0.9873505156231726,0.9984521142568844,21.0,3776.0
BiVAECF,0.3009937449556094,0.1108580508474576,0.2524740131693547,0.3092602401129943,0.4634533898305085,0.575495529295543,0.1004401029727039,677.0940148305086,0.9957999879832174,0.987603315938334,45.0,3776.0
MMGCN,0.3009514981840194,0.1113347457627118,0.2529927020905964,0.3114936440677965,0.4647775423728814,0.5712309591118839,0.100295053273603,719.1307733050849,1.0,1.0,15.0,3776.0
GRCN,0.3218182506053268,0.11875,0.2540304207949554,0.2957803672316385,0.486228813559322,0.6510465021915142,0.1079359891728741,506.2374470338983,0.7355546984714583,0.9376019199910672,159.0,3776.0
MostPop,0.3035288665254237,0.111864406779661,0.2541978853682914,0.3123366878531073,0.4676906779661017,0.5726287192284268,0.1005870637667997,721.8887711864406,1.0,1.0,14.0,3776.0
MMGCN,0.303752080811138,0.1122351694915254,0.2544831643498541,0.3126015183615819,0.4690148305084746,0.5747002463898166,0.1008694626237154,718.8994173728814,1.0,1.0,14.0,3776.0
VBPR,0.3210414144471348,0.1181673728813559,0.2549867302406584,0.2999426200564971,0.4872881355932203,0.654310540328982,0.1082629813241671,504.2415254237288,0.7030334207780302,0.9367211273246336,176.0,3776.0
MMGCN,0.3029065148305085,0.1113877118644067,0.2558213093149509,0.3163488700564971,0.4711334745762712,0.5873832584145319,0.1018936088597196,684.7500529661017,0.8840233086441804,0.9863205749282415,27.0,3776.0
VBPR,0.3287968497780468,0.1207097457627118,0.2640367754405645,0.3128751765536723,0.5023834745762712,0.6878303164098251,0.1126010683503216,486.0820974576271,0.593014273185406,0.926226528844332,177.0,3776.0
LATTICE,0.3357265814164648,0.1235699152542373,0.2679438536770073,0.3144509180790961,0.5113877118644068,0.6849506707176641,0.1135050720188719,505.2759533898305,0.693860834117533,0.9447918744540842,151.0,3776.0
VBPR,0.3392529257465698,0.124947033898305,0.2702524943484323,0.3162870762711864,0.5150953389830508,0.6958096469197601,0.1145978464418737,517.0021716101694,0.6624548644475386,0.9441337404748112,174.0,3776.0
VBPR,0.3394780316787732,0.1246292372881356,0.2705824086433818,0.3162782485875706,0.5148305084745762,0.692011455137998,0.1143879093163871,515.9286016949152,0.7020020760729988,0.9469324546619616,174.0,3776.0
LATTICE,0.3367770757667473,0.1246292372881356,0.2724719264374815,0.3216719632768361,0.510593220338983,0.6844764597826332,0.1144547894744102,543.824629237288,0.7226960308874548,0.9502600376422914,159.0,3776.0
