model,modality,date,Recall@1,Precision@1,nDCG@1,MRR@1,HR@1,Recall@5,Precision@5,nDCG@5,MRR@5,HR@5,Recall@10,Precision@10,nDCG@10,MRR@10,HR@10,Recall@20,Precision@20,nDCG@20,MRR@20,HR@20
LATTICE,textual,2025_01_15_00_39_49,0.0,0.0,0.0,0.0,0.0,0.0002273100556803,0.0001466920932961,0.0001594913238213,0.0002078137988362,0.0007334604664808,0.0005815093356445,0.0002200381399442,0.0003305389809176,0.0004119020841919,0.0022003813994425,0.0011664244975521,0.0002530438609358,0.0005482425612329,0.0005901873423784,0.0050608772187179
Random,,2025_01_14_16_21_46,0.0001283555816341,0.0002933841865923,0.0002933841865923,0.0002933841865923,0.0002933841865923,0.0004092098185907,0.0002347073492738,0.0003788041392658,0.0005733215979658,0.0011735367463693,0.0008107279219501,0.0002567111632682,0.0005461598644984,0.0007562792365491,0.0025671116326829,0.0014225541878608,0.0002860495819275,0.0007870972259709,0.000968446187706,0.0057209916385506
MostPop,,2025_01_14_16_21_46,0.0036075483240696,0.0107818688572685,0.0107818688572685,0.0107818688572685,0.0107818688572685,0.0112352638086574,0.0076279888514009,0.0111247314432228,0.0184868710576499,0.0343992958779521,0.019006095234148,0.0061610679184391,0.0138359348683999,0.0209786574646483,0.0532492298665101,0.0304220568669255,0.0049435235440809,0.0175959976893928,0.0229635467688719,0.0828076866656887
NeuMF,,2025_01_15_01_27_09,0.0038132519858568,0.0112219451371571,0.0112219451371571,0.0112219451371571,0.0112219451371571,0.0123706440999218,0.0079213730379932,0.0118783162984906,0.0192056623148012,0.0354261405310253,0.018401823119168,0.0059116913598357,0.0139109047392859,0.0212752723699621,0.0511221945137157,0.0286185233415492,0.0047051488924746,0.0173810732411782,0.0232795776718846,0.0798738447997653
MMGCN,textual,2025_01_15_01_33_55,0.0130723340027279,0.0344726419246002,0.0344726419246002,0.0344726419246002,0.0344726419246002,0.0463061148119652,0.0263165615373331,0.0418078407352709,0.0606131729499779,0.1092856095056476,0.0720344793360113,0.0213290303652633,0.0515818333209304,0.0681046857645801,0.1662754877512102,0.1059341225784931,0.0163598357048555,0.0630017747813799,0.0730645567833637,0.2386680357928707
MMGCN,audio,2025_01_14_22_16_32,0.0132623945728598,0.0364529851840985,0.0364529851840985,0.0364529851840985,0.0364529851840985,0.0482156644420009,0.0275341059116913,0.0436864967177517,0.0641166691115348,0.1152999853307906,0.0752615607397413,0.0220918292504034,0.0537496376868689,0.071803684067143,0.1734634003227226,0.1108451882209438,0.0168219157987384,0.0655708770635162,0.0767482850218922,0.2465160627842159
MMGCN,emotion,2025_01_14_17_34_10,0.0150080482199218,0.0399002493765586,0.0399002493765586,0.0399002493765586,0.0399002493765586,0.0493466921278031,0.0280768666568871,0.045637574017205,0.0672913304972862,0.1175737127768813,0.0729063693774904,0.0218131142731406,0.0544925560494577,0.0744051402772247,0.170382866363503,0.1086392199025072,0.0169282675663781,0.066535590108225,0.0796068760489938,0.246589408830864
GRCN,emotion,2025_01_14_17_47_08,0.040274460365109,0.1205075546428047,0.1205075546428047,0.1205075546428047,0.1205075546428047,0.1268996245714716,0.0800938829397095,0.1244906462050093,0.1843626228546281,0.2960246442716737,0.1762054966319774,0.0588675370397535,0.141616309606695,0.1961874608530028,0.3844799765292651,0.232193465138835,0.0406080387267126,0.1606791451251806,0.2021887242657253,0.4704415432008215
BM3,emotion,2025_01_14_16_44_48,0.0429899042996515,0.1222678597623588,0.1222678597623588,0.1222678597623588,0.1222678597623588,0.1410127138641805,0.0854628135543494,0.1341179519210661,0.191270598014767,0.3112072759278275,0.1972740690223925,0.0622707936042247,0.1539610935922949,0.2041546751701511,0.4068505207569312,0.2569239507216287,0.0423793457532638,0.1741762656916044,0.2106789024263169,0.5001466920932962
BM3,textual,2025_01_14_23_50_55,0.0437887085330694,0.1246149332550975,0.1246149332550975,0.1246149332550975,0.1246149332550975,0.1424456310118333,0.0854481443450198,0.1348618715996246,0.1926605055987482,0.3146545401202875,0.1990902044849798,0.0624394895115153,0.1550508006256508,0.20556446186122,0.4111779375091682,0.2609190126548606,0.0428744315681384,0.1760965289173908,0.2120892452982574,0.505134223265366
LightGCNM,emotion,2025_01_14_22_34_12,0.0440015119307519,0.1248349713950418,0.1248349713950418,0.1248349713950418,0.1248349713950418,0.1423825514638827,0.0853014522517236,0.1349422267374285,0.1933805192900103,0.3145078480269913,0.1946756432766768,0.0612439489511515,0.153477681933431,0.205315318147209,0.4042100630776001,0.2533299500937543,0.0419612732873698,0.1737544418518529,0.2116311335013435,0.4958926213877072
LATTICE,audio,2025_01_14_20_57_49,0.0461092190893665,0.1248349713950418,0.1248349713950418,0.1248349713950418,0.1248349713950418,0.1498690708972919,0.0845386533665835,0.1380748644938067,0.1955173341156911,0.3192019950124688,0.2063896684546677,0.0611706029045034,0.1591677165473898,0.2081654232765425,0.4134516649552589,0.2637275146909993,0.0413928414258471,0.179241621533286,0.214518558216285,0.5038873404723485
BM3,audio,2025_01_14_19_30_57,0.0436121170706375,0.1253483937215784,0.1253483937215784,0.1253483937215784,0.1253483937215784,0.1465742371099413,0.0879125715123954,0.1384508800510853,0.197137059312503,0.3225759131582807,0.2022789314578959,0.0635543494205662,0.1581417311550967,0.2094627751349916,0.4146985477482763,0.2657274481638474,0.0436408977556109,0.1797230483764226,0.2160286277311541,0.509388293970955
GRCN,textual,2025_01_15_01_47_29,0.0457197863986047,0.1313627695467214,0.1313627695467214,0.1313627695467214,0.1313627695467214,0.1431465852685732,0.0882499633269766,0.1387970849484281,0.2008715955210014,0.3215490685052076,0.1931485436250955,0.0627988851400909,0.1559110597714354,0.2123685592275148,0.406703828663635,0.2475594700048879,0.0422363209623001,0.1744439827769213,0.218197550607264,0.4904650139357489
LightGCNM,audio,2025_01_15_05_40_33,0.0463610132418376,0.1276954672143171,0.1276954672143171,0.1276954672143171,0.1276954672143171,0.1481489526564929,0.0877072025817808,0.1394577372216143,0.1984450638110606,0.3223558750183365,0.201537787565249,0.0625715123954818,0.1585452919096949,0.2100981498168677,0.4097110165762065,0.2579678418098484,0.0422546574739621,0.1781777344969748,0.2161596990161619,0.4965527358075399
