model,Recall@1,Precision@1,nDCG@1,MRR@1,HR@1,Recall@10,Precision@10,nDCG@10,MRR@10,HR@10
LATTICE,0.0,0.0,0.0,0.0,0.0,0.0005815093356445,0.0002200381399442,0.0003305389809176,0.0004119020841919,0.0022003813994425
Random,0.0001283555816341,0.0002933841865923,0.0002933841865923,0.0002933841865923,0.0002933841865923,0.0008107279219501,0.0002567111632682,0.0005461598644984,0.0007562792365491,0.0025671116326829
MostPop,0.0036075483240696,0.0107818688572685,0.0107818688572685,0.0107818688572685,0.0107818688572685,0.019006095234148,0.0061610679184391,0.0138359348683999,0.0209786574646483,0.0532492298665101
NeuMF,0.0038132519858568,0.0112219451371571,0.0112219451371571,0.0112219451371571,0.0112219451371571,0.018401823119168,0.0059116913598357,0.0139109047392859,0.0212752723699621,0.0511221945137157
MMGCN,0.0130723340027279,0.0344726419246002,0.0344726419246002,0.0344726419246002,0.0344726419246002,0.0720344793360113,0.0213290303652633,0.0515818333209304,0.0681046857645801,0.1662754877512102
MMGCN,0.0132623945728598,0.0364529851840985,0.0364529851840985,0.0364529851840985,0.0364529851840985,0.0752615607397413,0.0220918292504034,0.0537496376868689,0.071803684067143,0.1734634003227226
MMGCN,0.0150080482199218,0.0399002493765586,0.0399002493765586,0.0399002493765586,0.0399002493765586,0.0729063693774904,0.0218131142731406,0.0544925560494577,0.0744051402772247,0.170382866363503
GRCN,0.040274460365109,0.1205075546428047,0.1205075546428047,0.1205075546428047,0.1205075546428047,0.1762054966319774,0.0588675370397535,0.141616309606695,0.1961874608530028,0.3844799765292651
BM3,0.0429899042996515,0.1222678597623588,0.1222678597623588,0.1222678597623588,0.1222678597623588,0.1972740690223925,0.0622707936042247,0.1539610935922949,0.2041546751701511,0.4068505207569312
BM3,0.0437887085330694,0.1246149332550975,0.1246149332550975,0.1246149332550975,0.1246149332550975,0.1990902044849798,0.0624394895115153,0.1550508006256508,0.20556446186122,0.4111779375091682
LightGCNM,0.0440015119307519,0.1248349713950418,0.1248349713950418,0.1248349713950418,0.1248349713950418,0.1946756432766768,0.0612439489511515,0.153477681933431,0.205315318147209,0.4042100630776001
LATTICE,0.0461092190893665,0.1248349713950418,0.1248349713950418,0.1248349713950418,0.1248349713950418,0.2063896684546677,0.0611706029045034,0.1591677165473898,0.2081654232765425,0.4134516649552589
BM3,0.0436121170706375,0.1253483937215784,0.1253483937215784,0.1253483937215784,0.1253483937215784,0.2022789314578959,0.0635543494205662,0.1581417311550967,0.2094627751349916,0.4146985477482763
GRCN,0.0457197863986047,0.1313627695467214,0.1313627695467214,0.1313627695467214,0.1313627695467214,0.1931485436250955,0.0627988851400909,0.1559110597714354,0.2123685592275148,0.406703828663635
LightGCNM,0.0463610132418376,0.1276954672143171,0.1276954672143171,0.1276954672143171,0.1276954672143171,0.201537787565249,0.0625715123954818,0.1585452919096949,0.2100981498168677,0.4097110165762065
FREEDOM,0.0459648582742721,0.131876191873258,0.131876191873258,0.131876191873258,0.131876191873258,0.2077845346384764,0.0662241455185565,0.1635919944447885,0.2172049742590303,0.425480416605545
LightGCNM,0.0472565699394838,0.1329763825729793,0.1329763825729793,0.1329763825729793,0.1329763825729793,0.2071398415271051,0.0652119700748129,0.1636864927130995,0.2170467272528296,0.4229133049728619
FREEDOM,0.0468533126544741,0.1345166495525891,0.1345166495525891,0.1345166495525891,0.1345166495525891,0.2063357928557768,0.066165468681238,0.1635316328852467,0.2179274328185139,0.4227666128795658
FREEDOM,0.047759311034962,0.1334898048995159,0.1334898048995159,0.1334898048995159,0.1334898048995159,0.2084527820871751,0.0669942790083614,0.1649514505258213,0.2168368469582346,0.4226932668329177
VBPR,0.0505707369492419,0.1396508728179551,0.1396508728179551,0.1396508728179551,0.1396508728179551,0.1981722607265878,0.0611119260671849,0.1614708714592023,0.2175802615310463,0.3970954965527358
GRCN,0.048562634938354,0.1399442570045474,0.1399442570045474,0.1399442570045474,0.1399442570045474,0.2083639231874265,0.0673023324042834,0.167115291620566,0.2261236206868449,0.4325216370837612
LATTICE,0.0501338717494672,0.1388440663048261,0.1388440663048261,0.1388440663048261,0.1388440663048261,0.2201250113419872,0.06685492151973,0.1728441156586445,0.2267529414093152,0.4378758984890714
BPRMF,0.0500405650052936,0.1385506821182338,0.1385506821182338,0.1385506821182338,0.1385506821182338,0.2148856025040803,0.0654833504474108,0.171375923907082,0.2264741100097562,0.4259204928854335
VBPR,0.0517765801153359,0.1422913304972862,0.1422913304972862,0.1422913304972862,0.1422913304972862,0.2204732395382372,0.0674930321255684,0.1756646100304611,0.2311456128586097,0.4369223998826463
LightGCN,0.0519877034257539,0.1460319788763385,0.1460319788763385,0.1460319788763385,0.1460319788763385,0.2236013592936316,0.0703168549215197,0.17770381380146,0.2344932777766135,0.446970808273434
VBPR,0.0557429112745104,0.1510195100484083,0.1510195100484083,0.1510195100484083,0.1510195100484083,0.2251430056163238,0.0687399149185858,0.1807693605551848,0.2378016792752013,0.4393428194220331
FeatureItemKNN,0.0712026253867248,0.2148305706322429,0.2148305706322429,0.2148305706322429,0.2148305706322429,0.3019745798227606,0.1035426140531025,0.2485727707448295,0.321587255018383,0.5558896875458412
FeatureItemKNN,0.0702857767606624,0.212336805046208,0.212336805046208,0.212336805046208,0.212336805046208,0.3009208810170468,0.1033519143318175,0.2476115265621397,0.3196273147663054,0.5543494205662315
ItemKNN,0.0709337316145546,0.2131436115593369,0.2131436115593369,0.2131436115593369,0.2131436115593369,0.3009376126993719,0.1033519143318175,0.2479133029099068,0.3199931136211758,0.5541293824262872
FeatureItemKNN,0.0711921360618391,0.2142438022590582,0.2142438022590582,0.2142438022590582,0.2142438022590582,0.3028258191200287,0.1037479829837171,0.2492810133540758,0.3217956509287006,0.5572099163855069
