model,Recall@20,Precision@20,nDCG@20,MRR@20,HR@20
LATTICE,0.0011664244975521,0.0002530438609358,0.0005482425612329,0.0005901873423784,0.0050608772187179
Random,0.0014225541878608,0.0002860495819275,0.0007870972259709,0.000968446187706,0.0057209916385506
BiVAECFM,0.0212026813187083,0.0035389467507701,0.0133852849041411,0.0198816062647792,0.0640310987237787
BiVAECFM,0.0253286351539492,0.0044337685198767,0.0156689422852116,0.0219221544650431,0.0767933108405456
BiVAECFM,0.025450063492956,0.0042647058823529,0.0160635513206291,0.0234032973018178,0.0756965944272445
MostPop,0.0304220568669255,0.0049435235440809,0.0175959976893928,0.0229635467688719,0.0828076866656887
NeuMF,0.0286185233415492,0.0047051488924746,0.0173810732411782,0.0232795776718846,0.0798738447997653
MMGCN,0.1059341225784931,0.0163598357048555,0.0630017747813799,0.0730645567833637,0.2386680357928707
MMGCN,0.1044427977883276,0.015797213622291,0.0627970014838842,0.0727413353266034,0.2334365325077399
MMGCN,0.1108451882209438,0.0168219157987384,0.0655708770635162,0.0767482850218922,0.2465160627842159
MMGCN,0.1086392199025072,0.0169282675663781,0.066535590108225,0.0796068760489938,0.246589408830864
BiVAECFM,0.1265581090410326,0.0209989731553469,0.0795987141913021,0.0975981400014793,0.285976235880886
GRCN,0.232193465138835,0.0406080387267126,0.1606791451251806,0.2021887242657253,0.4704415432008215
BM3,0.2569239507216287,0.0423793457532638,0.1741762656916044,0.2106789024263169,0.5001466920932962
BM3,0.2609190126548606,0.0428744315681384,0.1760965289173908,0.2120892452982574,0.505134223265366
LightGCNM,0.2533299500937543,0.0419612732873698,0.1737544418518529,0.2116311335013435,0.4958926213877072
LATTICE,0.2637275146909993,0.0413928414258471,0.179241621533286,0.214518558216285,0.5038873404723485
BM3,0.2657274481638474,0.0436408977556109,0.1797230483764226,0.2160286277311541,0.509388293970955
GRCN,0.2475594700048879,0.0422363209623001,0.1744439827769213,0.218197550607264,0.4904650139357489
LightGCNM,0.2579678418098484,0.0422546574739621,0.1781777344969748,0.2161596990161619,0.4965527358075399
FREEDOM,0.2696107236539388,0.0453681971541733,0.1849399988217172,0.2234124114645306,0.5138624028164882
LightGCNM,0.2647805280755474,0.043886607011882,0.1836557048606237,0.2230156688814412,0.5081414111779375
FREEDOM,0.2684945534360898,0.0451628282235587,0.1847010353442087,0.2242734860004289,0.5146692093296171
FREEDOM,0.267465718028657,0.0451628282235587,0.1850958858492358,0.2229561942619065,0.5097550242041954
BM3,0.2717696400733149,0.0434404024767801,0.1853853721860545,0.2231032175534902,0.5126934984520124
VBPR,0.2400257122314996,0.0386937069091975,0.1757154654095205,0.2221477984375477,0.4625935162094763
LightGCNM,0.2753313182465238,0.0441911764705882,0.1886183527879093,0.2251111554885733,0.5169504643962848
GRCN,0.2679210567932605,0.045419539386827,0.1874647973580402,0.2320851035037358,0.5181898195687252
FREEDOM,0.2785311136617441,0.0453792569659442,0.1920509963315626,0.2298593438944456,0.5178018575851393
LATTICE,0.2840676288096717,0.0438931888544891,0.1953445715481593,0.2314185970193108,0.5273219814241487
LATTICE,0.2781040452162187,0.0445613906410444,0.1930147856482363,0.2327723870578995,0.523984157253924
BPRMF,0.2655216505033215,0.0425773800792137,0.1889796324798841,0.2316716031798488,0.5003667302332404
GRCN,0.2664912664089217,0.0436300309597523,0.1916005893126859,0.2394453736533749,0.5047987616099071
VBPR,0.2730685654140561,0.0436372304532785,0.1937095788412403,0.2362848387362827,0.5107818688572686
LightGCN,0.2844272017795379,0.0466774240868417,0.1985172055552538,0.2405487216017375,0.5332991051782309
VBPR,0.2762638590845132,0.044194660407804,0.1983362049252231,0.243107460950411,0.515476015842746
VBPR,0.2923373304819361,0.0459984520123838,0.2080824641639931,0.2517947812204054,0.5363777089783281
FeatureItemKNN,0.3754628369407809,0.0655495356037151,0.2723810454086166,0.322396340951851,0.6270123839009288
FeatureItemKNN,0.3718704301153954,0.0675517089628869,0.2726189952461114,0.3264646143674158,0.6253483937215784
FeatureItemKNN,0.3695102372003311,0.0671519730086548,0.2711528348320187,0.3243722586126853,0.6216810913891742
ItemKNN,0.3691352541896089,0.067162974915652,0.2713709250737065,0.3247199588806814,0.6213143611559337
FeatureItemKNN,0.3725312285038136,0.0675150359395628,0.2731850300859854,0.3265815356665221,0.6253483937215784
